,Q1,Q13_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q5_1,Q6_1,Q9_1,Q8_1,Q7_1,Q10_1,Q11_1
119,528,21,3,3,1,2,3,1,2,2,4,2,2,4,8,3,3,2,4,3
120,529,15,4,2,1,4,4,1,3,4,3,4,2,4,2,4,4,4,2,4
121,530,30,3,2,2,3,2,1,2,4,4,2,3,4,4,3,3,2,2,3
122,531,61,2,3,2,1,4,3,2,4,4,2,3,4,5,5,5,5,1,3
123,532,78,4,3,1,3,4,1,4,3,2,4,2,5,2,5,5,5,1,4
124,533,38,2,3,1,2,3,1,3,3,3,3,2,4,4,3,3,3,3,4
125,534,40,3,2,1,3,3,1,1,5,4,1,3,4,5,4,4,5,4,3
126,535,2,3,1,1,2,2,1,1,3,3,1,1,4,2,3,3,3,3,3
127,537,5,3,1,1,3,3,1,2,4,4,2,2,4,3,3,4,3,2,4
128,538,10,4,2,1,4,5,1,4,4,2,2,2,5,1,5,5,4,1,4
129,539,4,4,1,1,4,4,1,1,4,4,1,1,4,1,4,4,4,3,3
130,541,0,3,1,1,2,4,1,3,3,3,2,1,4,3,3,3,3,2,2
131,542,5,2,3,1,2,3,2,2,4,3,2,1,4,3,5,5,5,4,3
132,543,65,3,4,2,2,3,3,3,3,3,4,2,4,3,3,3,3,2,2
133,544,46,2,3,2,2,2,2,3,2,2,3,2,5,7,5,5,5,2,1
134,545,45,3,3,1,3,4,1,1,2,4,1,1,5,2,4,3,2,2,2
135,546,50,2,3,2,2,2,1,2,4,4,2,3,4,4,4,5,4,2,3
136,547,19,2,2,1,3,3,1,4,3,3,3,1,5,2,5,5,4,2,4
137,548,30,3,2,1,2,3,1,3,4,3,3,3,3,3,4,4,4,4,4
138,549,2,1,1,1,5,5,1,1,5,5,1,1,5,2,3,3,3,3,3
139,550,40,2,3,1,2,2,1,2,3,3,2,3,3,3,4,4,4,4,3
140,551,5,3,3,1,1,1,1,1,4,3,1,1,4,2,5,5,5,2,3
141,552,1,3,2,1,4,5,1,2,4,4,3,1,5,1,4,3,3,2,3
142,553,40,3,1,1,2,2,1,3,4,3,2,2,3,2,4,3,3,2,4
143,554,24,2,3,2,4,2,1,5,2,2,5,1,5,4,4,5,5,4,2
144,555,1,5,1,1,5,5,1,3,3,3,5,1,5,1,5,5,5,2,1
145,556,28,3,4,3,3,3,1,2,4,5,2,3,4,3,4,4,4,4,3
146,557,10,4,2,1,4,4,1,2,3,3,2,2,4,2,4,4,4,1,4
147,560,60,2,3,1,2,3,2,3,3,4,3,3,3,5,4,3,3,4,4
148,562,2,4,1,1,3,4,1,2,4,4,3,2,4,2,4,3,3,2,3
149,563,65,1,4,2,2,1,4,4,2,3,3,4,3,7,3,4,4,4,4
150,564,7,3,2,1,2,3,1,2,4,3,2,2,4,1,4,4,4,2,3
