,Q1,Q13_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q5_1,Q6_1,Q9_1,Q8_1,Q7_1,Q10_1,Q11_1
113,528,32,3,2,1,3,2,1,2,4,3,2,2,4,8,3,3,2,2,3
114,529,45,3,2,1,4,2,1,3,4,4,3,3,4,2,4,4,4,2,4
115,530,20,3,1,2,3,4,1,2,4,3,1,1,4,1,3,3,2,2,4
116,531,35,2,4,1,2,5,3,3,3,3,3,2,4,2,5,5,5,1,3
117,532,53,4,2,1,3,2,1,5,3,3,4,1,5,1,5,5,5,1,4
118,533,3,4,1,1,3,4,1,3,3,3,3,2,5,2,2,3,2,3,2
119,534,11,3,2,1,2,3,1,1,5,4,1,3,4,2,5,5,4,2,4
120,535,0,3,1,1,2,2,1,1,3,3,1,1,5,1,4,4,3,2,3
121,536,15,4,2,1,3,4,1,1,4,4,1,1,4,2,4,4,4,1,4
122,537,10,3,3,1,3,3,1,4,4,3,3,2,4,4,4,4,3,2,4
123,538,0,5,1,1,5,5,1,5,5,1,2,2,5,1,5,5,5,1,4
124,539,4,4,2,1,4,4,1,1,4,4,1,1,4,1,4,3,3,3,4
125,540,10,3,1,1,2,4,1,3,3,3,3,1,5,1,4,2,3,3,2
126,541,20,4,1,1,3,3,1,3,3,3,4,1,4,2,4,3,2,2,2
127,542,1,3,2,1,3,2,1,2,3,3,2,1,5,6,5,5,5,4,2
128,543,70,3,4,1,2,2,2,3,2,3,4,2,5,3,3,3,2,2,2
129,544,92,2,4,1,2,2,4,3,3,2,3,2,5,4,5,4,5,2,2
130,545,43,3,2,1,3,5,1,1,1,2,1,2,5,3,5,4,3,2,1
131,546,15,4,2,1,3,3,1,2,5,4,2,3,4,3,4,5,4,2,3
132,547,45,3,1,1,3,1,1,4,3,3,3,2,5,1,5,5,5,2,4
133,549,3,1,2,1,2,1,1,1,5,5,1,2,5,3,3,4,3,3,1
134,550,35,2,2,1,2,3,2,3,3,3,3,3,3,3,4,4,3,2,3
135,551,0,4,1,1,3,5,1,1,4,3,1,1,5,1,5,2,3,2,3
136,552,13,4,1,1,4,4,1,3,4,3,3,1,4,2,4,3,3,2,3
137,553,12,3,1,1,3,2,2,3,3,4,2,1,4,3,4,4,4,2,3
138,554,1,4,1,1,5,4,1,5,1,1,5,1,5,1,3,3,4,2,1
139,555,1,5,1,1,5,5,1,3,3,3,4,1,5,1,5,5,5,1,2
140,556,26,2,2,1,3,4,1,2,4,4,2,2,4,3,4,4,4,2,2
141,557,13,4,1,1,4,4,2,2,3,3,2,2,5,1,4,4,4,2,3
142,561,37,2,1,1,2,3,1,3,4,4,2,1,5,2,3,3,2,2,3
143,562,10,4,1,1,4,3,2,2,3,4,3,2,4,3,3,3,3,2,4
144,563,9,4,1,1,3,4,1,4,2,3,3,2,5,2,4,3,4,2,4
145,564,8,3,3,1,2,3,1,2,4,3,2,1,5,1,3,3,3,3,3
