,Baseline_RT,Baseline_TTL,RI_RT,RI_False_Alarms,Shifting_Congruent_RT,Shifting_Congruent_Accuracy,Shifting_Congruent_FA,Shifting_Incongruent_Accuracy,Shifting_Incongruent_FA,Total_Errors,CogInhib_Incongruent_Accuracy,CogInhib_Incongruent_RT,Conflict_Resolution_Accuracy,Conflict_Resolution_RT,WM_Hits,WM_FA,WM_PR,Min_moves_exit,n_Attempts,WM_Return_Efficiency,VAS_cold,VAS_hot,STAI_cold,STAI_hot,VAS,STAI
86,-0.731239669,-1.944243894,-0.56273148,1.006814447,-0.708020184,-0.099170046,0.534522484,-0.975856152,1.095445115,1.414213562,-0.194053094,0.815067904,0,-0.067109636,-0.534522484,-0.153714363,-0.67226314,0,-0.534522484,0.193210877,0,0.39,0.208333333,0.208333333,0.39,0.166666667
87,1.186316553,1.892179984,1.085524124,-0.622793323,2.445397612,-0.017316952,0.324442842,-0.173800541,0.534522484,0.552344771,0.181090959,1.69493098,0.223606798,0.445323529,,0.267329615,-0.267329615,0,,-0.195503455,0.1,0.2,0.166666667,0.25,0.3,0
88,-0.108343762,-0.910235372,-1.008654569,0.741892323,-0.705848625,0.155490631,-0.534522484,0.957904229,-0.863868426,-0.816496581,-0.000669756,-0.285631003,0.223606798,-0.096189628,,0,0,0,,0,0.03,0.08,0.125,0.125,-0.11,-0.083333333
89,1.459516778,0.998337677,1.08355674,0.363622055,1.28410135,0.006181421,-0.534522484,-0.136398868,0,-0.215665546,-0.088388348,0.746143289,0,0.155008405,0.376355257,0.6069225,-0.04043937,0,0.324442842,-0.171801079,-0.06,0.41,0,0.25,0.05,-0.083333333
90,-0.441351464,-1.580084613,0.325168231,-1.070119835,0.242018578,-0.139204993,,0.666211496,-0.67936622,-0.67936622,-0.186226838,-0.376190253,0.223606798,0.315215126,,-0.801783726,0.801783726,0,,0.805609473,0.06,-0.07,0.041666667,-0.416666667,0.63,0.375
91,2.450779038,2.466834844,2.38868223,-0.405668159,1.844157124,-0.020246483,,0.786517503,-0.707106781,-0.707106781,0.061913021,1.554160611,0,0.316072316,0.309217198,-0.187448751,0.456499796,0,0.534522484,-0.090714065,-0.2,0.22,-0.25,0.166666667,0.28,0.083333333
92,0.084025999,0.715153909,0.814951557,0.849667204,0.704252798,-0.196830423,,0.196856843,0.239045722,0.239045722,0.022633484,0.69748488,-0.223606798,-0.148877757,,-0.820461555,0.820461555,0,,0.794736487,-0.05,0.02,0,0.125,-0.03,-0.125
93,1.191491466,1.963641324,0.869442137,0.50831845,0.807353583,-0.19996062,0.755928946,-0.538333744,0,0.594088526,-0.353640317,1.105954123,0,0.070778827,0.534522484,0.487347604,0.239608664,0,0,-0.647769234,0.07,-0.01,0.166666667,0.041666667,-0.02,-0.041666667
94,1.073266667,1.459407586,1.033126036,0.574295063,1.016428417,-0.205296893,,-0.817125135,0.730296743,0.730296743,-0.102793659,2.257106849,0.138675049,0.404242454,0.672992713,0.834572263,0.516280745,0,0.534522484,-0.823712243,0.02,0.03,0.083333333,0.083333333,-0.01,-0.083333333
95,1.547593397,1.160677487,2.026410748,0.217002372,2.219085218,0.340655638,-0.534522484,-0.185232928,0.359210604,0.159111457,-0.568702621,1.177739213,0.138675049,0.325718332,0.642187782,-0.11825421,0.78490339,0,0.534522484,-0.197735337,-0.59,0,0.041666667,0,-0.99,0.125
96,-1.284550142,-1.259400391,-0.507054903,0.462867047,-0.98970773,0,,-0.534522484,,,0.099070278,-1.145075822,0,-0.08049316,,-0.534522484,0.534522484,0,,0.534522484,0.01,0.03,0,0.125,0.06,0.125
97,1.35439142,1.423433573,1.623191363,-0.279483402,1.576390633,0.141125131,-0.534522484,0.226087635,-0.534522484,-0.816496581,0.175195407,1.81150739,-0.078086881,0.075920345,0.534522484,-0.399648502,0.740436942,0,0.534522484,-0.133628069,0.13,0.15,-0.208333333,0.166666667,0.02,-0.208333333
98,0.374010495,0.855559252,0.686028255,0.54045139,0.97720799,0.124871796,0.534522484,-0.704859568,0.402015126,0.42953678,-0.833222109,-2.341078672,-0.316227766,-0.364258446,-0.276747108,0.131268093,-0.370498307,0,0.338061702,-0.13447949,0.11,0.3,0.041666667,0.166666667,-0.09,-0.041666667
99,1.21461853,1.857373948,0.73411456,0.295305381,1.448782755,-0.068893931,,-0.485938658,0.461265604,0.461265604,0.388573871,0.577059625,-0.262612866,0.265314781,0,0.414800502,-0.119740921,0,0,-0.176436254,0,0.05,-0.083333333,0.5,0.05,0.166666667
